Patent,Abstract,Title
05706090,"The invention relates to a method for positioning a container for measurement of wear in the container lining. The method comprises taking a reference picture by a camera means of a set of at least three reference marks mounted on the container, and performing reference measurement of the container lining with a measuring device emitting and receiving optical radiation. Later, in the actual measurement situation, a measurement picture is taken of the set of reference marks with the camera means, and the actual measurement of the wear in the container lining is performed with the measurement device emitting and receiving optical radiation. By comparing the measurement situation picture with the reference picture, correction factors are calculated, on the basis of which the actual measurement of the wear in the container lining and the previously made reference measurement of the container lining are combined so as to be represented in the same coordinate system.","Method for positioning a container for measurement of wear in the"
05706212,"A sample system investigation system, such as an ellipsometer or polarimeter system, for use in investigating sample systems with electromagnetic wavelengths in the infrared range, and a calibration method for compensating nonidealities in multi-dimensional system rotated and non-rotated component representing matricies, are disclosed. An essentially achromatic compensator of dual-rhomb construction, which introduces a (3*LAMBDA/4) phase shift, but essentially no deviation in the direction of propagation of a polarized beam of electromagnetic wavelengths caused to pass therethrough, even when said compensator is caused to continuously rotate, is also disclosed.","Infrared ellipsometer/polarimeter system, method of calibration, and use"
05706099,"An apparatus and method for producing a halftone image which generates halftone cells based on grayscale image data values. Each of the halftone cells is formed from serpentine dot patterns. The serpentine dot patterns form two separate arcs. The halftone cells are written onto a recording medium to produce the halftone image. Rotation of the halftone cells allows data to be encoded within each of the halftone cells without varying the tone of the image. The tone of the image may be controlled by selectively varying a thickness of the arcs within the halftone","Method and apparatus for generating serpentine halftone images"
05706214,"For calibration of a microprocessor-based electrical metering device, the scaled values of current and voltage inputs are presented on a display along side of the associated scaling factors. Soft keys on the display are used to increment or decrement the scaling factors to adjust the scaled values of the associated current or voltage to the value indicated by a precision reference meter which measures test values of current and voltage provided by a stable source. For analog inputs, both a zero scaling factor (offset) and a full scale factor (slope) are presented on the display adjacent the scaled analog value and can be separately adjusted by the soft keys.","Calibration of microcomputer-based metering apparatus"
05706097,"In combination with a digital recording medium having recorded thereon individually addressable digital data files containing still images, motion sequences and sound sequences, an index print, having a plurality of index images representing the still images, motion sequences and sound sequences on the digital recording medium, the index images including a subject matter descriptor, an index code usable for addressing the individual digital data files, and a type indicator for indicating the type of subject matter contained in the data file.","Index print with a digital recording medium containing still images,"
05706216,"A system for filtering an image during data compression using a standard JPEG compression/decompression chip typically requires a separate spatial filter external to the chip. The spatial filter is composed of numerous shift registers, flip-flops, multipliers and at least one adder. In contrast, an image filtering system which filters in the frequency domain using the inventive JPEG compression chip modified for filtering in the frequency domain does not require the separate spatial filter and its many components. The modified JPEG chip includes a raster to block converter which converts an image signal into 8.times.8 blocks, a DCT processor which converts the 8.times.8 blocks into DCT coefficients, a multiplier which generates filtered DCT coefficients by multiplying predetermined filtering coefficients times the DCT coefficients, a quantizer which generates quantized blocks to a predetermined level stored in a visibility table by quantizing the filtered coefficients, a zigzag scanner which generates a vector having the same number of elements as the quantized blocks, a run-length coder for determining the appropriate run-length according to entropy encoding received from a preloaded Huffman table, and a variable length code packer/unpacker for compressing the entropy encoded vector. A block to raster converter is included to reformat decompressed data.","System for data compression of an image using a JPEG compression circuit"
05706339,"In a personal communication service (PCS) environment, where a call to a personal telephone number may be routed to a sequence of telephone numbers until the call is answered or abandoned, and where it is possible that the destination telephones indicated in the sequence may be disconnected telephones such that they are unreachable from any network, a method for avoiding wasteful attempts to route the call by a) determining if any telephone numbers of the sequence correspond to disconnected telephones, and, if so, b) skipping over such telephone numbers, i.e., those of disconnected telephones, so that no attempt is made to complete a PCS call to a disconnected telephone.","Technique for use in processing personal telephone calls"
05706218,"A random number generator using a single, slow, voltage controlled oscillator which receives a noise input and a plurality of high frequency ring oscillators. The ring oscillators are sampled under control of the slow oscillator. A circuit is used between the output of each of the ring oscillators and its respective D-type latch to assure that the sampling is unbiased, that is, that there will be near even distribution of 1s and 0s in the random numbers.","Random number generator"
05706093,"A color classification apparatus for classifying the color component of a target object includes an imaging optical system, an image pickup device, optical bandpass filters, a transmission wavelength selection unit, a storage unit, a read unit, and a correction unit. The image pickup device is arranged on the imaging plane of the imaging optical system. The optical bandpass filters are optically arranged upstream the image pickup device, and have a plurality of different selectable optical transmission wavelength bands. The transmission wavelength selection unit selects one transmission wavelength band from the plurality of optical transmission wavelength bands. The storage unit stores each image information which has passed through the optical bandpass filter having the transmission wavelength band selected by the transmission wavelength selection unit and is picked up by the image pickup device, and transmission wavelength band information selected by the transmission selection means in correspondence with each other. The read unit performs read access, from the storage unit, to an area corresponding to the target object in the image information. In accordance with a positional shift of each image information of the target object stored in the storage means, the correction unit corrects the area of each image information to be read by the read unit.","Color classification apparatus"
05706220,"A system and method implementing a fast wavelet transform by shifting a pair of pixels into a single shift register and using a multimode quadrature mirror filter to eliminate the need of downsampling the filtered signals and to decrease the area required to implement the device on a semiconductor chip.","System and method for implementing the fast wavelet transform"
05706333,"A cellular telephone network with the capability to detect faulty cellular telephones in use in the network. The network includes measurement units at some or all of the cell sites. The measurement units monitor the radio links between each cell site and specific cellular telephones. Measurements taken at all the cell sites are accumulated at a test system controller. The test system controller stores and processes the measurements to detect faulty cellular telephones. When a faulty cellular telephone is detected, a trouble manager notifies the subscriber of the fault so that it might be repaired before the fault affects cellular telephone service. The same measurement techniques are also used to detect fraudulent telephone usage and network problems.","Method and apparatus for analyzing cellular telephone network"
05706222,"A peak detector having several novel detection modes including detecting a pair of peaks with opposite polarity and selecting whether or not the peaks must cross programmed thresholds to be detected. The novel detection modes together with several known detection modes are provided in one unit and can be selected by the user. A power down feature is also provided.","Multiple mode peak detector"
05706092,"","High resolution differential spectrometry system"
05706224,"A semiconductor memory device is disclosed which is partitionable into random access memory (RAM) and content addressable memory (CAM) subfields, and with which incremental comparisons may be efficiently conducted. The apparatus generally includes a memory array of N data storage locations of M bits each which may be divided into predefined segments, a means for comparing a search word with all data words stored in the array, a means for generating a match signal when the bits of the search word match the bits of the data words, and a configuration register and a plurality of transfer gates for selecting which of the predefined array segments are to function solely as random access memory. The apparatus may additionally include a plurality of storage means, each corresponding to a segment of the memory array, for storing the match signals generated from that corresponding segment during a comparison.","Content addressable memory and random access memory partition circuit"
05705973,"A giant magnetoresistive dual spin valve sensor employs at least one magnetic biasing layer located adjacent to an antiferromagnetic layer in the spin valve structure which includes two pinned ferromagnetic layers. The antiferromagnetic layer simultaneously pins the biasing layer and the ferromagnetic layer nearest the antiferromagnetic layer. This structure eliminates the bias point offset present in prior dual spin valve sensors.","Bias-free symmetric dual spin valve giant magnetoresistance transducer"
05706226,"A complementary-metal-oxide-semiconductor, static-random-access-memory cell has two pairs of n-channel and p-channel transistors in complementary symmetry, push-pull arrangement. One pair of complementary transistors stores the binary state of the memory cell, and the other pair of complementary transistors stores the complement of the binary state of the memory cell. Both transistors in each of the complementary pairs of complementary transistors in the memory cell have nearly equal current carrying capacity and provide a voltage trip point for a change of state of the memory cell equal to approximately 1/2 the bias voltage across the memory cell. Complementary word lines and bit lines select a memory cell for reading or writing. The wordline control gates have complementary transistors, and those complementary transistors push or pull current to the memory cell in parallel to minimize the effect of transistor threshold voltage on the flow of current to the complementary transistors in the memory cell. A pair of transmission gates are connected one each to each of the complementary bit lines. Each transmission gate has a pair of complementary transistors and an actuation input. The transmission gates upon actuation passing voltages on complementary bit-lines indicative of the state of the memory cell.","Low voltage CMOS SRAM"
05706314,"A system and method for jointly determining initial tap coefficients for a maximum likelihood sequence estimating equalizer and a timing error of an incoming signal, in one embodiment, receives the incoming signal into a receiver, and locates a known portion within a time frame of the incoming signal. The known portion is compared with a stored representation of the known portion, and with a stored representation of a derivative of the known portion. The initial tap coefficients and timing error of the incoming signal are jointly determined based on the comparing of the known portion with the stored representations, and a subsequent known portion is located within a subsequent time frame of the incoming signal based on the timing error. The initial tap coefficients are passed to a maximum likelihood sequence estimating equalizer.","Joint maximum likelihood channel and timing error estimation"
05706228,"A memory array (25) having a selected memory cell (10) and an unselected memory cell (30) is programmed and read. Each memory cell in the memory array (25) contains an isolation transistor (22) and a floating gate transistor (23). To program the selected memory cell (10), programming voltages are applied to a control gate line (21), a drain line (14), an isolation line (19), and a source line (12). To reduce the effects of the drain disturb problem, a gate terminal (32) of the unselected memory cell (30) is held at a positive voltage. To read selected memory cell (10), a read voltage is applied to an isolation gate line (31) of unselected memory cell (30) which insures that the unselected memory cell (30) does not conduct or contribute to leakage current and power consumption during the read operation.","Method for operating a memory array"
05706323,"A system of encoding a plurality of logic paths. A number of logic paths are subdivided into groups of N, N being greater than one. Each group of N logic paths is encoded such that an assertion of a given combination of the N logic paths results in a predetermined one out of 2.sup.N signal lines being asserted. Simultaneous assertion of more than one of the 2.sup.N signal lines is defined as an invalid state. A simultaneous non-assertion of all of the 2.sup.N signal lines enables precharging of the signal lines for dynamic operation. 1-of-2.sup.N encoding enables transmission of N variables by firing one out of N wires (rather than every wire, as in static logic, or one out of two wires, as in mousetrap logic). Signal degradation due to noise and coupling is reduced. In a multiplexer, 1-of-2.sup.N encoding reduces the load on the multiplexer's shift lines. Several 1-of-2.sup.N encoded multiplexers may be interconnected to form a self-timed dynamic shift register comprising one or more stages of tiered multiplexers. 1-of-2.sup.N encoding enables closer wire routings within such a shift register. Furthermore, 1-of-2.sup.N encoding can reduce the number of multiplexers required to implement a shift function.","Dynamic 1-of-2.sup.N logic encoding"
05706230,"An internal voltage boosting circuit for a semiconductor memory device comprises first and second boosted voltage generators for boosting an internal voltage of said memory device. A voltage level detector is operative to detect the internal voltage. A first logic circuit is operatively connected to the first generator and to the voltage level detector. The logic circuit activates the first generator when (a) the detected voltage falls below a predetermined voltage and (b) the memory device is in an active state. A second logic circuit is operatively connected to the second generator. The second logic circuit activates the second generator when said memory device is in a precharge state.","Internal voltage boosting method and circuit for a semiconductor memory"
05706086,"An improved system (30) for measuring surface aberrations of concave cylindrical surfaces. In the illustrative embodiment, the invention includes a transmission flat (20), an interferometer (32), and a surface to be measured (28). The transmission flat (20) is a transparent disc that is placed between the interferometer (32) and the surface (28) to be measured. An electromagnetic wave (33,34,36,37) is generated by the interferometer (32), and is directed through the transmission flat (20). The wave (41) bounces off the surface (28) to be measured and is retro-reflected off a first surface (26) of the transmission flat. The electromagnetic wave (42) returns to the opposite side of the surface (28) under test. The wave (43) then bounces off the surface (28) under test and passes through the transmission flat (20). The wave (43) interferes with light (39) that is reflected from a reference surface (26) of transmission flat (20) on a first bounce. Information contained in the interference pattern is used by the interferometer (32) to construct an image representative of the surface (28) to be measured. In a specific embodiment, a non-transparent strip of material (22) is disposed across the center of the transmission flat (20). The strip (22) prevents skewed light reflected off the measured surface from entering the interferometer (32) on the first bounce from the surface (28) under test, and blurring the image of the surface (28). In the illustrative embodiment, the transmission flat (20) has a reference surface (26) that reflects a portion of the electromagnetic wave (38,39) back toward the interferometer (32). The reflected wave (38,39) provides a reference for interferometer (32) calculations.","System for measuring surface aberrations of concave cylindrical surfaces"
05706232,"An integrated circuit having a normal operating mode and a special operating mode, such as a special test mode, is disclosed. The special test mode is enabled by a series of signals, such as overvoltage excursions at a terminal, rather than by a single such excursion, so that it is less likely that the special test mode is entered inadvertently, such as due to noise or power-down and power-up of the device. The circuit for enabling the test mode includes a series of D-type flip-flops, each of which are clocked upon detection of the overvoltage condition together with a particular logic level applied at another terminal; multiple series of flip-flops may be provided for multiple special test modes. Additional features include the provision of a power-on reset circuit which locks out the entry into the test mode during power-up of the device. Acknowledgment of the entry into test mode is provided by the presentation of a low impedance at output terminals while the device is not enabled; chip enable of the device causes the device to exit the test mode. Once in test mode, the output enable terminal of the device can provide a chip enable function.","Semiconductor memory with multiple clocking for test mode entry"
05706318,"A control rod for a nuclear reactor incorporates a plurality of neutron absorber tubes containing neutron absorbing materials. The absorber tubes are substantially rectangular inside and outside, each tube containing at least one axial stack of substantially round neutron absorbing material segments or capsules.","Rectangular absorber tube for a control rod in a nuclear reactor"
05706234,"A semiconductor memory device 40 includes an array of storage cells 130, addressable by row and column and specifically designed for testing. Row and column addresses are decoded to access a row and plural columns simultaneously. A test data bit to be written into the storage cells is replicated and stored into as many storage cells at once as there are columns simultaneously accessed. Upon readout for a comparison test, plural occurrences of the stored test data bit are compared with each other and with an expected data bit within parallel comparator circuitry 140 located within the memory device. A pass/fail signal (on lead 170) from the parallel comparator circuitry is transmitted to the memory device tester 30 for final defect analysis and correction. When a failure/defect is detected, information representing the address and the type of failure are stored in the memory device tester. A memory device test method also is described.","Testing and repair of wide I/O semiconductor memory devices designed for"
05706082,"In an optogalvanic spectroscopy system, a plasma is exposed to light at a wavelength associated with a particular species in the analyte. The light is amplitude modulated. The amplitude of a modulated component in the signal representing electrical impedance of the plasma is detected in a phase independent manner, so that the detected amplitude is substantially independent of the phase of the modulated component in the impedance signal relative to the amplitude modulation of the light. The system has reduced sensitivity to changes in the spectrum of the applied light.","Optogalvanic spectroscopy with phase independent detection"
05706236,"A sense amplifier including a presense amplifier and a main sense amplifier. The presense amplifier detects a potential difference between a pair of bit lines based on information read from memory cells and outputs a pair of current signals in accordance with the detected potential difference. The main sense amplifier amplifies the pair of current signals from the presense amplifier to output a first pair of voltage signals. The main sense amplifier provides an output current which allows the first pair of current signals to flow through the presense amplifier. The main sense amplifier includes a current supply circuit for outputting a second pair of current signals based on the amount of the first pair of current signals output from the presense amplifier, and a converting circuit for converting the second pair of current signals from the current supply circuit to voltage signals and outputting the voltage signals.","Semiconductor memory device"
05706312,"Coding gain is improved by employing an N-dimensional trellis encoder incorporating an N'-dimensional convolutional encoder where N' is less than N. The additional coding gain is realized as a shaping gain. This unique modulator encodes a digital signal by generating a sequence of N-dimensional symbols as a function of the digital signal using an N'-dimensional convolutional encoder within the trellis encoder more than once (integer N/N' times) during each N-dimensional symbol interval. This allows the trellis encoder to produce an output of higher dimensionality than would normally be expected from the lower dimensionality convolutional encoder. The trellis encoder is applicable to television transmission.","Trellis coded modulation employing lower dimensionality convolutional"
05706238,"An antifuse bank includes a bank of self-decoupling anti fuse circuits. The anti fuse circuits are programmed according to a pattern of address bits by blowing antifuses corresponding to bits of the address. The antifuses are blown by applying a high voltage across the antifuse. As each antifuse is blown, its resistance drops and current through the antifuse increases. The self-decoupling circuit detects the increased current flow and, when the anti fuse resistance is sufficiently low, limits current flow through the anti fuse. The antifuse thus does not load the high voltage source as other antifuses are blown.","Self current limiting antifuse circuit"
05705881,"The disclosure relates to very high power (one megawatt and more) electron tubes with cylindrical anodes. To cool the anode, which receives about one kilowatt per square centimeter, water is usually made to circulate in a jacket surrounding the anode with grooves to facilitate ebullition. The invention proposes a structure where the anode wall is drilled in its thickness and throughout its height with very fine and very numerous water circulation conduits. The anode is made in many superimposed sections brazed to one another by their edges. The conduits are formed in the individual sections before this brazing operation. The channels all lead into a structure for the distribution of cooling water which distributes the water uniformly in all the tubes. The anode can thus distribute a flux with power of over 2 kW/cm.sup.2 on a surface area of over 1000 cm.sup.2.","Very high power vacuum electron tube with anode cooled by forced"
05706240,"A voltage regulator for electrically programmable, non-volatile memory devices has an output terminal connected to a power supply line for programming the state of at least one memory element through at least one selection circuit. At least first and second resistive elements are connected between first and second terminals of a voltage supply. At least a first circuit is matched to the at least one selection circuit, and the first circuit is coupled serially with the resistive elements between the two terminals of the voltage supply. At least one control current generator is connected between one of the first and second voltage supply terminals and a node linking to one of the resistive elements, and the current of the controlled current generator is controlled to be a function of current through the at least one selection circuit. An operational amplifier has an inverting input and a non-inverting input, and the non-inverting input is connected to a node linking to at least one of the resistive elements. An output terminal of the operational amplifier is the regulator output terminal to which the inverting input is coupled.","Voltage regulator for memory device"
05706081,"Virtually all of the light reflected from an object to be inspected is made incident upon a focusing lens 7, a quantity of light in a regularly reflected light region on an plane P1 where an image is formed by a lens 7 is detected by a photodiode 8, while a quantity of light in a peripherally scattered light region is detected by a photodiode 9. If the quantity of light received (VDET1) in the regularly reflected light region is lower than a first reference value (VREF1) (S1=1), and the quantity of light received (VDET2) in the peripheral scattered light region is higher than a second reference value (VREF2) (S2=1), a determination is made that a defect is present.","Apparatus for inspecting surface defects with regularly reflected light"
05706242,"A semiconductor device includes a nonvolatile memory cell and a current detecting type sense amplifier for detecting a current flowing through a data line into the memory cell. The semiconductor device is further provided with an element for outputting a first voltage detecting signal when a detected supply voltage exceeds a set value and outputting a second voltage detecting signal when the detected supply voltage does not exceed the set value. The sense amplifier includes an element for switching a dependent characteristic of a level sensing current upon the supply voltage to be a higher response to the first voltage detecting signal. Thus, error reading of a data from the memory cell, which can be otherwise caused under application of a low supply voltage, can be avoided.","Semiconductor device having a controllable voltage supply"
05706110,"A method is provided wherein idle periods occurring in the data transmission between various services are detected by means of a Power Manager, whereby the infrared link (IrDA-SIR) is shut down automatically. The link restarts automatically when new activity is detected. Thanks to the method, at least one of the stations can also go into the sleep mode, even though a virtual link to the application layer (7) of the other station is maintained in the application layer (7).","Method and equipment for saving power in infrared data transmission"
05706244,"A semiconductor dynamic random access memory device has shared sense amplifier units used for not only magnification of data bits but also serving as a cache storage, and a cache system incorporated in the semiconductor dynamic random access memory device individually controls the sense amplifier units to determine whether to allow an access to the selected sense amplifier unit, thereby enhancing the hit ratio.","Semiconductor memory device having shared sense amplifier arrays"
05705858,"A packaging structure for a semiconductor device has plural hermetically sealed units each containing a flip-chip electrically interconnected to an intermediate substrate, circuit patterns of the flip-chips being within the sealed environment. Each hermetically sealed unit is connected to a base wiring substrate through soldered electrodes. Replacement of a flip-chip is accomplished by melting the solder joints between the flip-chip's respective hermetically sealed unit and the base wiring substrate. The flux vapor given off during this replacement process does not damage the circuit patterns of nearby flip-chips because they are contained in a sealed environment. Additionally, the electrodes between the flip-chips and intermediate substrate and between intermediate substrates and the base wiring layer contain projections which prevent crushing of solder between opposing electrodes and deformation of the flip-chip under a heavy load.","Packaging structure for a hermetically sealed flip chip semiconductor"
05706246,"An address transition detection circuit for driving an internal circuit of a memory device, includes an address input circuit for generating an input logic operation signal by a logic operation of a chip select signal and an address signal, a latch circuit for generating first and second latch signals, a feedback circuit for generating a feedback signal, first and second delay circuits for generating first and second delay signals by delaying the first and second latch signals for a prescribed delay time, and an address transition detection signal output circuit for receiving the first and second latch signals and the first and second delay signals, and generating an address transition detection signal having a pulse width longer than at least the twice the prescribed delay time of the first or second delay circuit when the address signal changes, thereby preventing malfunction of the memory device.","Address transition detection circuit"
05706298,"The invention relates to a method and apparatus for checking data integrity in a data communications system in which plural data streams can be intermixed and wherein the data streams have a frame transmission format in which the frame is different than the logical block length of the data stream components. The integrity of the transmission process is checked without requiring system processor involvement, unless errors are detected. A first incoming data stream, composed of logical blocks, is received; and a running longitudinal redundancy check is calculated. If the data stream is interrupted at other than the end of a block, the intermediate value of the LRC is stored in a context storage associated only with that data stream. When the data stream continues, and this may occur after other data streams have been received, the intermediate value of the LRC is recalled from the context storage and the running longitudinal redundancy check calculation is continued. The storage and calculation steps continue each time the data stream is interrupted other than at a logical termination of a logical block for the data stream. The communications process is particularly applicable to mass storage subsystems in which the data streams are directed to and from the storage media.","Method and apparatus for calculating the longitudinal redundancy check"
05706248,"","Data transfer system"
05706076,"A semiconductor light exposure apparatus includes an excitation light source, a light beam generating device, a controller and a contracting optical system. The light beam generating device generates a fundamental wavelength laser light beam when excited by a light beam from the excitation light source, and wavelength-converts the fundamental wavelength laser light beam into a second harmonics laser light beam by a first resonator having a first non-linear optical crystal element while also converting the second harmonics laser light beam into a second harmonics laser light beam by a second resonator having a second non-linear optical crystal element. The controller controls an output of the excitation light source in order to control an output of the fourth-order harmonics laser light beam from the light beam generating device. The contracting optical system projects a pattern in a contracted size on a wafer by the fourth-order harmonics laser light beam outputted from the optical beam generating device.","Semiconductor light exposure apparatus"
05706250,"Seismic data acquisition devices (BA) distributed in an exploration zone are divided into n groups (GA1 to GAn) and, therein, into sub-groups having each a specific frequency for communicating with a concentration unit (Ck) which is connected to a central station (1) through Hertzian channels or cables or optical fibers. Acquisition devices in the various subgroups communicate simultaneously with the corresponding concentration unit (Ck) during predetermined emission windows. The concentration unit collects the signals received from the acquisition devices to transmit them in series to station (1). The acquisition devices are adapted for delaying their own emission window according to the rank which has been previously assigned thereto within the respective subgroups thereof.","Seismic transmission method and system utilizing concentration units"
05706290,"A controller apparatus and method for executing a plurality of control functions for communication of multimedia articles including voice, audio, text, still image, motion video and animated graphics which incorporates a frame memory system which is compatible with multiple standard or customized coding algorithmic signals such as H.261, MPEG, JPEG, EDTV or HDTV or in multiple incompatible video coding equipment employing different video coding algorithms can now freely communicate with each other, the controller apparatus further including a band width management function for automatically scaling the multimedia article signal to conform to available band width.","Method and apparatus including system architecture for multimedia"
05706252,"The invention relates to multifrequency acoustic transducers exhibiting a wide band around each resonant frequency. It consists in inserting between a .lambda./2 active emitter plate (201) and the soft reflector (203) which supports it a rear plate (202) resonating in .lambda./4 mode and in placing on this active plate two marcher plates (204, 205) whose impedances are designed so as to best match the two frequencies obtained by inserting this rear plate. Thicknesses of these marcher plates are optimized with the aid of a model of for example Mason type starting from a value close to .lambda./4 for the frequency to be matched. It makes is possible to construct sonar transducers which operate equally well in detection mode and in classification mode.","Wideband multifrequency acoustic transducer"
05705909,"A control for an AC motor has first and second sets of three-phase stator windings wound physically in parallel and a three-phase inverter for each set. A first current sensor is responsive to a first phase current of the first set of three-phase stator windings; and a second current sensor is responsive to a phase current of the second set of three-phase windings other than that corresponding to the first phase current of the first set of three-phase windings. The control is responsive to signals from the first and second current sensors to generate a set of motor phase voltage control signals, which are provided to first and second three-phase inverters connected across a source of DC electric power. The first three-phase inverter uses semiconductor switches responsive to the set of motor phase voltage control signals to generate operating voltages in the first set of three-phase windings; and the second three-phase inverter uses semiconductor switches responsive to the set of motor phase voltage control signals to generate operating voltages in the second set of three-phase windings. The control thus eliminates two current sensors, two current controllers and a PWM pulse generator of the prior art for a reduction in cost and improvement in reliability.","Control for AC motor having parallel sets of three-phase windings with"
05706254,"A surface element for a device for generating sounds by influencing opposite extremities of a surface element to oscillate from and towards each other and thereby the surface element to oscillate transversely thereto and generate sounds has at least a portion formed in the thickness direction thereof by at least two first layers (12) and an intermediate layer (13) having a lower average density than the density of the two first layers.","Surface element and a device for generating sound"
05706288,"An available bit rate scheduling method and apparatus for asynchronous transfer mode communication of a plurality of cells over a network characterized by a system clock frequency f and an allowed cell rate ACR. Each cell belongs to an assigned virtual circuit communication channel which is defined by a set of negotiated traffic parameters. The invention partitions the ACR's of the virtual circuits into a smaller subset of profiles/sub-profiles and conducts a deterministic search to service them. The scheduler incorporates a profile generator for iteratively generating a number p of the profiles by (i) outputting a k*modulo 2.sup.i th one of the profiles during each kth iteration of the profile generator, where 1.ltoreq.i.ltoreq.p and 1.ltoreq.k.ltoreq.p-1; (ii) outputting a null profile during each 2.sup.p th one of the iterations; and, (iii) dispatching the profiles from the profile generator to the profile queue such that a particular profile is dispatched at a time T=T.sub.0 +(1/ACR)*f, where T.sub.0 is the dispatch time of a profile dispatched immediately prior to the particular profile. A profile queue coupled to the profile generator receives and sequentially stores the generated profiles. A virtual circuit processor sequentially receives the profiles from the profile queue and, for each one of the received profiles, dispatches to an output queue all virtual circuits which are characterized by the one received profile.","Available bit rate scheduler"
05706256,"A method for selecting fundamental clock frequencies in order to achieve electromagnetic compatibility in electronic products which employ a plurality of clocks. The method require first selecting an ideal frequency for each clock in the product. Then, and until the goal of avoiding coinciding harmonics is complete, the method includes the steps of computing all harmonics of all clock frequencies chosen, determining a minimum difference tolerable in the chosen frequencies and their harmonics for sufficient minimization of electromagnetic interference, and determining if the harmonics of the chosen frequencies coincide impermissibly within the frequency range. If there exists coincidence of harmonics within the predetermined minimum range, then the fundamental frequency of at least one of the clocks corresponding to an interfering harmonic must be adjusted to eliminate the interference. With the altered fundamental frequency, the steps of computing harmonics, determining if coincidence occurs, and adjusting the fundamental frequency is repeated.","Clock frequency coordination for electromagnetic compatibility"
05706071,"A device for detecting a line of sight includes an image pick-up element for picking up an eyeball image of a user, a line of sight detection circuit for detecting the line of sight of the user by calculating an output from the image pick-up element, a maximum value detection circuit for detecting a maximum output value output from the image pick-up element, a comparison circuit for comparing the maximum value with a predetermined threshold value, and an inhibition circuit for inhibiting a line of sight detection operation of the line of sight detection circuit when the maximum value is smaller than the threshold value.","Line of sight detection apparatus and an equipment having the line of"
05706258,"An apparatus and method for instructing an impaired individual to perform an act using: a voice recorder capable of recording a series of different voice recordings of a person whose voice is recognized by the individual to provide a series of different recorded instructions to the impaired individual, a playback capable of playing seriatim one of the series of said recorded instructions in the series, a repeating means connected to the playback and capable of repeating the playing of said recorded instructions until stopped, a timer connected with the playback, the timer capable of activating said playback at multiple, preselected time intervals to provide for a series of multiple timed recorded instructions played seriatim during the day to the impaired individual, and a switch for the repeating means operated by the impaired individual to stop the repeating means after anyone of a selected playback of a recorded instruction.","Timed repeating instructions apparatus and method"
05705865,"A rotary electric machine that controls fluid pressure and loss of cooling air, increases the cooling air flow rate, and is able to favorably cool the end of a coil with little regard to the positional relationship between the centrifugal blades and the end of the stator coil, is disclosed. A cooling fan of such a rotary electric machine includes centrifugal blades having deflecting blades disposed therebetween, which are mounted so as to incline towards an inside of the axial direction. The centrifugal blades and the deflecting blades are integrally formed. For this reason, the cooling air accelerates at areas between the individual blades in the centrifugal direction and is separated into two flows, one in the direction of inside portions and one in the direction of outside portions of the end of a stator coil. The end of the stator coil is cooled favorably. Thus, the eddy produced at the inside portions in the end of the stator coil is suppressed from flowing to the outside portions, and increases in fluid pressure loss are prevented.","Rotary electric machine with increased cooling capacity"
05706260,"A disk recording and reproducing apparatus which realizes a simultaneous recording function with a simple pickup system. The apparatus comprises a recording and reproducing head, a first memory for receiving and storing input signals at a first rate and supplying the stored signals at a second rate higher than the first rate so as to be recorded onto a disk medium at the second rate by the head, a second memory for receiving and storing signals reproduced at the second rate by the head and outputting the stored signals at a rate lower than the second rate, and control means for controlling the head to reproduce the Nth block (N is a natural number) and then repeating, while N is repetitively incremented, a sequence of operations of reproducing the N+1th block, moving to a position of the disk medium at which the Nth block is recorded, recording the input signals supplied thereto from the first memory means at the position of the disk medium at which the Nth block is recorded, and moving to another position of the disk medium at which the N+2th block is recorded.","Apparatus for and method of synchronously recording signals onto a disk"
05705962,"Microwave apparatus, such as microwave power dividers or combiners, having an adjustable terminating resistor. The present invention allows adjusting or trimming of the resistor and pretesting of substrates on which the apparatus is formed prior to installation of expensive integrated circuit components. The microwave power divider or combiner has a central contact disposed at a midpoint of the terminating resistor. This central contact is thus disposed at the midpoint of the terminating resistor and is coupled to a test point. Outer edges of the central contact are constructed to be parallel to inner edges of impedance paths or traces over which the terminating resistor lies so that each section of the terminating resistor has substantially the same resistance value.","Microwave power dividers and combiners having an adjustable terminating"
05706262,"A recording and reproducing apparatus corresponding to a recording medium having management information (U-TOC) for managing the order of reproduction and reproducing operations for recorded data (pieces of music), having a controller which makes it possible to rewrite the management information when the order of the data is specified by a program so that the order of reproduction is changed in accordance with the order of data specified by the program on the recording medium (F110) or to rewrite the management data so that the data specified by the program become erased data (F106), allowing the erasure of plural pieces of music and the changing of the order of reproduction to be carried out easily.","Recording and reproducing apparatus that allows user reordering of the"
