patent,claim
06848179,"2. The method set forth in , wherein the terminals () are supplied as a jointed terminal assembly having the parallel press-fit terminals and joint portions () jointing adjacent ones of the terminals to each other, and

"
06848179,"3. The method set forth in , wherein the insulating housing () can receive the terminals () in predetermined ones of the plurality of terminal insertion channels (), and

"
06848179,"4. A terminal mounting method for mounting press-fit terminals () in a plurality of terminal insertion channels () parallel defined in an insulating housing (),









"
06848180,"1. A turbocharger turbine shaft joining method for joining together a wheel and a turbine shaft, the method comprising:




"
06848180,"2. A turbocharger turbine shaft joining method according to , characterized in that the turbine shaft is provided with an abutment portion abutting against a surface provided in the fitting hole and restricting axial movement of the turbine shaft at the time of welding."
06848180,"3. A turbocharger turbine shaft joining method according to , characterized in that: an insertion portion with a fixed diameter is formed at one end of the turbine shaft; and an axial abutment portion connected to the insertion portion and tapered so as to gradually increase in diameter from the insertion portion is provided, both the insertion portion and the axial abutment portion being coaxially arranged."
06848180,"4. A turbocharger turbine shaft joining method according to , characterized in that the wheel and the turbine shaft are welded to each other by fusing a part other than the axial abutment portion of the turbine shaft and the tapered inner peripheral wall of the wheel."
06848180,"5. A turbine wheel for use in a joining method according to , characterized in that at least a part of the inner peripheral wall of the fitting hole into which one end portion of the turbine shaft is to be inserted is tapered so as to reduce in diameter inwardly from the opening of the fitting hole."
06848180,"6. A turbine shaft for use in a joining method according , characterized in that provided at one end of the turbine shaft to be joined to the turbine wheel are a tapered axial abutment portion capable of being brought into close contact with the tapered inner peripheral wall of the fitting hole formed in the turbine wheel and an insertion portion with a fixed diameter to be inserted into the fitting hole."
06848180,"7. A turbocharger turbine shaft joining method according to , characterized in that: an insertion portion with a fixed diameter is formed at one end of the turbine shaft; and an axial abutment portion connected to the insertion portion and tapered so as to gradually increase in diameter from the insertion portion is provided, both the insertion portion and the axial abutment portion being coaxially arranged."
06848180,"8. A turbine wheel for use in a joining method according , characterized in that at least a part of the inner peripheral wall of the fitting hole into which one end portion of the turbine shaft is to be inserted is tapered so as to reduce in diameter inwardly from the opening of the fitting hole."
06848180,"9. A turbine shaft for use in a joining method according , characterized in that provided at one end of the turbine shaft to be joined to the turbine wheel are a tapered axial abutment portion capable of being brought into close contact with the tapered inner peripheral wall of the fitting hole formed in the turbine wheel and an insertion portion with a fixed diameter to be inserted into the fitting hole."
06848180,"10. A turbocharger turbine shaft joining method according to , characterized in that the wheel and the turbine shaft are welded to each other by fusing a part other than the axial abutment portion of the turbine shaft and the tapered inner peripheral wall of the wheel."
06848180,"11. A turbine wheel for use in a joining method according to , characterized in that at least a part of the inner peripheral wall of the fitting hole into which one end portion of the turbine shaft is to be inserted is tapered so as to reduce in diameter inwardly from the opening of the fitting hole."
06848180,"12. A turbine shaft for use in a joining method according to , characterized in that provided at one end of the turbine shaft to be joined to the turbine wheel are a tapered axial abutment portion capable of being brought into close contact with the tapered inner peripheral wall of the fitting hole formed in the turbine wheel and an insertion portion with a fixed diameter to be inserted into the fitting hole."
06848180,"13. A turbine shaft according to , characterized in that: an insertion portion with a fixed diameter is formed at one end of the turbine shaft; and a tapered portion connected to the insertion portion and gradually increasing in diameter is provided, the insertion portion and the tapered portion being arranged coaxially."
06848180,"14. A turbocharger turbine shaft joining method for joining together a wheel and a turbine shaft, the method comprising:




"
06848181,"1. A method of fabricating an inkjet printhead having an array of inkjet nozzle arrangements that is configured to span a width of a print medium, each nozzle arrangement having a substrate that incorporates CMOS drive circuitry and a micro electromechanical system connected to CMOS drive circuitry to be actuated by the CMOS drive circuitry to displace at least one component of the micro electromechanical system relative to the substrate so as to achieve the ejection of ink from a nozzle of the nozzle arrangement as a result of such displacement of each component, said method comprising the steps of:

"
06848181,"2. A method as claimed in , in which the replication protocol includes replicating said single nozzle arrangement to fill said pod of nozzles with two rows of nozzles of the nozzle arrangements, each row having the same number of nozzles, the nozzles being positioned to print a series of dots, numbered zero to n, where n+1 is the number of nozzles in each pod with one row of nozzles being positioned to print even numbered dots adn the other row being positioned to print odd numbered dots."
06848181,"3. A method as claimed in , in which the replicatoin protocol includes replicating said single nozzle arrangement in a series of approximately 45 degree transforms so that the rows of nozzles in each pod are staggered with respect to each other."
06848181,"4. A method as claimed in , in which the replication protocol includes replicating said single nozzle arrangement so that a distance between consecutive nozzles is such that said series of dots can be printed with a resolution of over 1000 dpi."
06848181,"5. A method as claimed in , in which the replicaton protocol includes replicating said single nozzle arrangements so that a distance between consecutive nozzles is such that said series of dots can be printed with a resolution of approximately 1600 dpi."
06848181,"6. A method as claimed in , which includes replicating the pods so that a number of pods in each podgroup corresponds with a predetermined number of inks to be used with the printhead, replicating said predetermined number of podgroups to form a predetermined number of rows of pods, said predetermined number of rows corresponding to said predetermined number of inks, replicating said predetermined number of rows of podgroups to form a predetermined number of printhead segments, and replicating said predetermined number of printhead segments so that the printhead segments span said width of the print medium, in use."
06848183,"1. A device for locking a butterfly knife having a first handle component, a second handle component, and a blade hingedly coupled at a proximal end of the butterfly knife wherein the first and second handle components are moved to an open position and a closed position comprising:



"
06848183,"2. A device for locking the butterfly knife in accordance with  further comprising:


"
06848183,"3. A device for locking the butterfly knife in accordance with  further comprising a switch located at the proximate end of the first handle component and coupled to the magnetic component for locking and unlocking the butterfly knife."
06848183,"4. A device for locking the butterfly knife in accordance with  further comprising a second rod member for coupling the switch to the magnetic component."
06848183,"5. A device for locking a butterfly knife having a first handle component, a second handle component, and a blade hingedly coupled at a proximal end of the butterfly knife wherein the first and second handle components are moved to an open position and a closed position comprising:





"
06848183,"6. A device for locking the butterfly knife in accordance with  further comprising a switch located at the proximate end of the first handle component and coupled to the magnetic component for locking and unlocking the butterfly knife."
06848183,"7. A device for locking the butterfly knife in accordance with  further comprising a second rod member for coupling the switch to the magnetic component."
06848184,"1. A foldable knife device comprising:





"
06848184,"2. The foldable knife device as claimed in , wherein a chain is coupled to the hollow rod."
06848184,"3. The foldable knife device as claimed in , wherein the chain has a key sleeved thereon."
06848184,"4. The foldable knife device as claimed in , wherein the protective circular cap can be imprinted with a knife brand trademark."
06848185,"1. A utility knife comprising:


"
06848185,"2. A utility knife according to  wherein said first opening is disposed at an end of said body."
06848185,"3. A utility knife according to  wherein said body has a generally arcuate shape."
06848185,"4. A utility knife according to , wherein said body and said blade carriage comprise mating track features configured to allow sliding movement of said blade carriage within said cavity."
06848185,"5. A utility knife according to , wherein said second opening is disposed at a second end of said body."
06848185,"6. A utility knife according to  further comprising a lock selectively engageable between said body and said blade carriage for selectively securing said blade carriage in each of a plurality of positions relative to said body."
06848185,"7. A utility knife according to  wherein said lock comprises a spring biased member configured to be received in at least one detent opening in said body."
06848185,"8. A utility knife comprising:



"
06848185,"9. A blade for a utility knife comprising:



"
06848185,"10. A blade according to , said blade comprising third and fourth cutting points at a second end of said body, said third cutting point being coincident with said first cutting edge and said fourth cutting point being coincident with said second cutting edge."
06848185,"11. A utility knife comprising:



"
06848185,"12. A utility knife according to  wherein said blade comprises third and fourth cutting points at a second end of said body, said third cutting point being coincident with said first cutting edge and said fourth cutting point being coincident with said second cutting edge."
06848185,"13. A utility knife according to  wherein said blade carriage is completely slidably removable from said cavity."
06848185,"14. A utility knife according to  further comprising a lock selectively engageable between said knife body and said blade carriage for selectively securing said blade carriage in each of a plurality of positions relative to said knife body."
06848185,"15. A utility knife according to  wherein said knife body has a generally arcuate shape."
06848185,"16. A utility knife according to  wherein said knife body and said blade carriage comprise mating track features configured to allow sliding movement of said blade carriage within said cavity."
06848185,"17. A utility knife according to , wherein at least one of said first and second edges comprises at least one cutout adapted to mate with detent of said blade carriage."
06848186,"1. A blade clamping device comprising:





"
06848186,"2. The device as claimed in , wherein the passage includes a first path and a second path which communicates with the first path, the driving shaft is securely received in the first path and the blade is inserted in the second path."
06848186,"3. The device as claimed in  further comprising a boss extending from a side surface of the extension of the blade has a hole through which the boss extends."
06848186,"4. The device as claimed in  further comprising a stop extending from an edge of the blade and being stopped by an end surface of the base member."
06848186,"5. The device as claimed in , wherein the driving shaft has two positioning holes and two pins extend through the base member and are inserted in the two positioning holes."
06848187,"1. An apparatus for detecting an absolute rotation angle of a detection body, the apparatus comprising:






"
06848187,"2. The apparatus for detecting a rotation angle according to , wherein


"
06848187,"3. The apparatus for detecting a rotation angle according to , wherein

"
06848187,"4. The apparatus for detecting a rotation angle according to , wherein said second rotation angle detector includes:


"
06848187,"5. The apparatus for detecting a rotation angle according to , wherein:




"
06848187,"6. An apparatus for detecting an absolute rotaiton angle of a detection body, the apparatus comprising:





"
06848187,"7. The apparatus for detecting a rotation angle according to , wherein:



"
06848187,"8. The apparatus for detecting a rotation angle according to , wherein said data code is set on said rotating plate in accordance with the arrangement of said plurality of detection holes and said plurality of non-hole detection parts."
06848187,"9. The apparatus for detecting a rotation angle according to , wherein said rotating plate includes a detection area having a plurality of first segments and a plurality of second segments."
06848187,"10. The apparatus for detecting a rotation angle according to , wherein

"
06848187,"11. The apparatus for detecting a rotation angle according to , wherein

"
06848187,"12. The apparatus for detecting a rotation angle according to , wherein said rotating plate includes a detection area having a plurality of first segments and a plurality of second segments."
06848187,"13. The apparatus for detecting a rotation angle according to , wherein

"
06848187,"14. The apparatus for detecting a rotation angle according to , wherein said plurality of detection devices are concentrically and circumferentially arranged."
06848187,"15. An apparatus for detecting an absolute rotation angle of a detection body, comprising:






"
06848187,"16. The apparatus for detecting a rotation angle according to , wherein


"
06848187,"17. The apparatus for detecting a rotation angle according to , wherein said rotating plate includes a detection area having a plurality of first and second detection segments."
06848187,"18. The apparatus for detecting a rotation angle according to , wherein:



"
06848187,"19. The apparatus for detecting a rotation angle according to , wherein

"
06848187,"20. The apparatus for detecting a rotation angle according to , wherein:



"
06848187,"21. The apparatus for detecting a rotation angle according to , wherein said first detection devices and said second detection devices are concentrically and circumferentially arranged."
06848188,"1. An apparatus comprising:


"
06848188,"2. The apparatus of , further including:


"
06848188,"3. The apparatus of , further including:


"
06848188,"4. The apparatus of , wherein said first laser beam is perpendicular to said second laser beam."
06848188,"5. The apparatus of , wherein said first motor and said second motor are mounted on said coarse pendulum."
06848188,"6. The apparatus of , wherein said first reflective surface and said second reflective surface are mounted on said coarse pendulum."
06848188,"7. The apparatus of , wherein said laser beam source assembly is mounted on said fine pendulum."
06848188,"8. The apparatus of , wherein said first reflective element is a penta-prism and said second reflective element is a penta-prism."
06848188,"9. A laser alignment device comprising:






"
06848188,"10. The laser alignment device of , wherein said pendulum assembly includes:


"
06848188,"11. The laser alignment device of , wherein said first motor and said second motor are mounted on said coarse pendulum."
06848188,"12. The laser alignment device of , wherein said first reflective surface and said second reflective surface are mounted on said coarse pendulum."
06848188,"13. The laser alignment device of , wherein said laser beam source assembly is mounted on said fine pendulum."
06848188,"14. The laser alignment device of , wherein said first reflective element is a penta-prism and said second reflective element is a penta-prism."
06848188,"15. The laser alignment device of , wherein said laser beam source assembly includes:



"
06848188,"16. The laser alignment device of , wherein said laser beam source assembly includes:


"
06848188,"17. The laser alignment device of , wherein said laser beam source assembly includes:


"
06848188,"18. The laser alignment device of , wherein said laser beam source assembly includes:





"
06848188,"19. The laser alignment device of , wherein said reflective element is a bi-mirror."
06848188,"20. The laser alignment device of , further including:




"
06848188,"21. The laser alignment device of , wherein said mounting bracket pivots in response to a rotation of said shaft."
06848188,"22. The laser alignment device of , further including:

"
06848188,"23. The laser alignment device of , wherein said positioning input corresponds to a period of time an input is selected."
06848188,"24. The laser alignment device of , wherein said first motor control signal frequency has the following relationship to said period of time:

"
06848188,"25. The laser alignment device of , wherein said first motor control signal pulse width has the following relationship to said period of time:


"
06848188,"26. The laser alignment device of , wherein said method further includes the step of:

"
06848188,"27. The laser alignment device of , wherein said step (e) includes the steps of:




"
06848188,"28. The laser alignment device of , wherein said control subsystem is coupled to said second motor and said method further includes the steps of:




"
06848188,"29. The laser alignment device of , wherein said first laser beam is perpendicular to said second laser beam."
06848188,"30. The laser alignment device of , further including: a clutch/release mechanism coupled to said first motor."
06848188,"31. The laser alignment device of , wherein said clutch/release mechanism includes:




"
06848188,"32. A laser alignment device comprising:









"
06848188,"33. The laser alignment device of , wherein said mounting bracket pivots in response to a rotation of said shaft."
06848188,"34. The laser alignment device of , wherein said pendulum assembly includes:


"
06848188,"35. The laser alignment device of , wherein:


"
06848188,"36. The laser alignment device of , including a laser beam source assembly mounted on said fine pendulum."
06848188,"37. A laser alignment device comprising:






"
06848188,"38. The laser alignment device of , further including:

"
06848188,"39. An apparatus comprising:







"
06848188,"40. The apparatus of , wherein said first base is made of a conductive material and said second base is made of a conductive material."
06848188,"41. The apparatus of , further including:





"
06848188,"42. The apparatus of , wherein said coarse pendulum includes a pair of arms terminating in said first base and said fine pendulum includes a pair of arms terminating in said second base."
06848188,"43. The apparatus of , wherein said pair of arms for said fine pendulum swing within said pair of arms for said coarse pendulum."
06848188,"44. The apparatus of , further including:



"
06848188,"45. An apparatus comprising:






"
06848188,"46. The apparatus of , further including:





"
06848188,"47. The apparatus of , further including:

"
06848188,"48. A laser beam source assembly comprising:



"
06848188,"49. The laser beam source assembly of , wherein said laser beam source assembly includes:


"
06848188,"50. The laser beam source assembly of , wherein said laser beam source assembly includes:


"
06848188,"51. A method for positioning a motor, said method comprising the steps of:




"
06848188,"52. The method of , wherein said positioning input corresponds to a period of time an input is selected."
06848188,"53. The method of , wherein said motor control signal frequency has the following relationship to said period of time:

"
06848188,"54. The method of , wherein said motor control signal pulse width has the following relationship to said period of time:


"
06848188,"55. The method of , further including the step of:

"
06848188,"56. The method of , wherein said step (e) includes the steps of:




"
06848188,"57. A processor readable storage medium having processor readable code embodied on said processor readable storage medium, said processor readable code for programming a processor to perform a method, said method comprising the steps of:




"
06848188,"58. The processor readable storage medium of , wherein said positioning input corresponds to a period of time an input is selected."
06848188,"59. The processor readable storage medium of , wherein said motor control signal frequency has the following relationship to said period of time:

"
06848188,"60. The processor readable storage medium of , wherein said motor control signal pulse width has the following relationship to said period of time:


"
06848188,"61. The processor readable storage medium of , further including the step of:

"
06848188,"62. The processor readable storage medium of , wherein said step (e) includes the steps of:




"
06848189,"1. A distance measurement device for measuring the distance between first and second reference points comprising:



"
06848189,"2. The distance measurement device of  wherein the base is integral with the housing."
06848189,"3. The distance measurement device of  wherein the base comprises sensors for detecting the rotational position of the flexible member base end relative to the base."
06848189,"4. The distance measurement device of  wherein:


"
06848189,"5. The distance measurement device of  wherein the magnet is directly attached to the flexible member housing end."
06848189,"6. The distance measurement device of  wherein the sensors are Hall-effect sensors."
06848189,"7. The distance measurement device of  wherein the housing further comprises a slide track allowing the flexible member housing end to move axially relative to the housing."
06848189,"8. The distance measurement device of  wherein the sensors are mounted in the slide track."
06848189,"9. The distance measurement device of  wherein the sensors are mounted within the housing."
06848189,"10. The distance measurement device of  comprising more than one flexible member for measuring the radial distances between the housing and the flexible member apexes."
06848189,"11. The distance measurement device of  wherein the distance measurement device is mounted on a downhole tool and used to measure the diameter of the borehole."
06848189,"12. The distance measurement device of  wherein the downhole tool is a density tool."
06848189,"13. The distance measurement device of  wherein the downhole tool is a neutron-porosity tool."
06848189,"14. A distance measurement device for measuring the distance between first and second reference points comprising:




"
06848189,"15. The distance measurement device of  wherein the base is integral with the housing."
06848189,"16. The distance measurement device of  wherein the base comprises sensors for detecting the rotational position of the flexible member base end relative to the base."
06848189,"17. The distance measurement device of  wherein the magnet is directly attached to the flexible member housing end."
06848189,"18. The distance measurement device of  wherein the sensors are Hall-effect sensors."
06848189,"19. The distance measurement device of  wherein the housing further comprises a slide track allowing the flexible member housing end to move axially relative to the housing."
06848189,"20. The distance measurement device of  wherein the sensors are mounted in the slide track."
06848189,"21. The distance measurement device of  wherein the sensors are mounted within the housing."
06848189,"22. The distance measurement device of  comprising more than one flexible member for measuring the radial distances between the housing and the flexible member apexes."
06848189,"23. The distance measurement device of  wherein the distance measurement device is mounted on a downhole tool and used to measure the diameter of the borehole."
06848189,"24. The distance measurement device of  wherein the downhole tool is a density tool."
06848189,"25. The distance measurement device of  wherein the downhole tool is a neutron-porosity tool."
06848189,"26. A method of measuring a distance between first and second reference points comprising:




"
06848189,"27. The method of  wherein the flexible member housing end comprises a magnet, and further comprising sensing the position of the flexible member housing end relative to the housing by detecting the magnetic field of the magnet."
06848189,"28. The method of  wherein the housing and base are one integral unit."
06848189,"29. A method of measuring a diameter of a borehole comprising:





"
06848189,"30. The method of  wherein the housing and the base are one integral unit."
06848189,"31. A method of measuring a diameter of a well borehole comprising:




"
06848189,"32. The method of  wherein the housing and the base are one integral unit."
06848189,"33. An apparatus for measuring a distance between first and second objects comprising:




"
06848190,"1. An apparatus for checking a crankpin, orbitally rotating about a geometrical axis, in the course of the machining in a numerical control grinding machine including a worktable, defining said geometrical axis, and a grinding-wheel slide carrying a grinding-wheel, with












"
06848190,"2. The apparatus according to , wherein the Vee-shaped reference device is adapted for maintaining contact with the crankpin to be checked substantially owing to the forces of gravity."
06848190,"3. The apparatus according to , including a helical torsion spring arranged between said support element and said first coupling element, adapted to apply to the reference device a pulling force, opposed to forces of gravity, that dynamically varies during the displacements of the apparatus, the helical torsion spring being arranged along a direction substantially parallel to said geometrical axis."
06848191,"1. An apparatus for supporting a combined substrate structure which comprises first and second substrates combined, said apparatus including:



"
06848191,"2. The apparatus as claimed in , wherein said control system controls said plurality of level-adjustable supporting mechanism in respective level-adjustment operations so as to suppress a flexure of said combined substrate structure within a maximum acceptable flexure value which corresponds to a maximum value of an acceptable range of a displacement between said first and second substrates."
06848191,"3. The apparatus as claimed in , wherein said plurality of level-adjustable supporting mechanism are arranged in a two-dimensional array under said bottom surface of said combined substrate structure."
06848191,"4. The apparatus as claimed in , wherein said control system controls said plurality of level-adjustable supporting mechanism in respective level-adjustment operations so as to suppress respective flexures of divided sub-regions of said combined substrate structure within said maximum acceptable flexure value."
06848191,"5. The apparatus as claimed in , wherein said level-detecting system includes a two-dimensional array of level-detecting sensors which are positioned over said plurality of level-adjustable supporting mechanism."
06848191,"6. The apparatus as claimed in , wherein said control system controls said plurality of level-adjustable supporting mechanism in respective level-adjustment operations so as to cause said combined substrate structure to have an inverse flexure to a virtual flexure which is substantially equivalent to a displacement between said first and second substrates, where said inverse flexure is equal in absolute value to and opposite in polarity to said virtual flexure."
06848191,"7. The apparatus as claimed in , wherein said inverse flexure is controlled within a predetermined upper-limit value."
06848191,"8. The apparatus as claimed in , further including:


"
06848191,"9. The apparatus as claimed in , wherein said displacement-detecting system comprises a plurality of image recognition devices for recognizing a displacement between a first alignment mark of said first substrate and a second alignment mark of said second substrate, said first and second alignment marks making a pair."
06848191,"10. The apparatus as claimed in , wherein said plurality of image recognition devices comprise cameras."
06848191,"11. The apparatus as claimed in , wherein said level-adjustable supporting mechanism comprises a conveyer for mechanically supporting said combined substrate structure; and a level-adjuster for adjusting a level of said conveyer in accordance with said control signal from said control system."
06848191,"12. The apparatus as claimed in , wherein said level-adjuster comprises an actuator showing elevations with a controlled stroke in accordance with said control signal from said control system."
06848191,"13. The apparatus as claimed in , wherein said conveyer is mechanically coupled to said level adjuster so as to move following to any thermal expansion of bottom one of said first and second substrates."
06848191,"14. The apparatus as claimed in , wherein said conveyer rotates following to any thermal expansion of bottom one of said first and second substrates."
06848191,"15. The apparatus as claimed in , wherein said conveyer slides following to any thermal expansion of bottom one of said first and second substrates."
06848191,"16. The apparatus as claimed in , further including:

"
06848191,"17. The apparatus as claimed in , further including:

"
06848191,"18. An apparatus for supporting a combined substrate structure which comprises first and second substrates combined, said apparatus including:



"
06848191,"19. The apparatus as claimed in , wherein said control system controls said level-adjusters in respective level-adjustment operations so as to suppress a flexure of said combined substrate structure within a maximum acceptable flexure value which corresponds to a maximum value of an acceptable range of a displacement between said first and second substrates."
06848191,"20. The apparatus as claimed in , wherein said control system controls said level-adjusters in respective level-adjustment operations so as to suppress respective flexures of divided sub-regions of said combined substrate structure within said maximum acceptable flexure value."
06848191,"21. The apparatus as claimed in , wherein said control system controls said level-adjusters in respective level-adjustment operations so as to cause said combined substrate structure to have an inverse flexure to a virtual flexure which is substantially equivalent to a displacement between said first and second substrates, where said inverse flexure is equal in absolute value to and opposite in polarity to said virtual flexure."
06848191,"22. The apparatus as claimed in , wherein said inverse flexure is controlled within a predetermined upper-limit value."
06848191,"23. The apparatus as claimed in , further including:


"
06848191,"24. The apparatus as claimed in , wherein said displacement-detecting system comprises a plurality of image recognition devices for recognizing a displacement between a first alignment mark of said first substrate and a second alignment mark of said second substrate, said first and second alignment marks making a pair."
06848191,"25. The apparatus as claimed in , wherein said plurality of image recognition devices comprise cameras."
06848191,"26. The apparatus as claimed in , wherein each of said level-adjuster comprises an actuator showing elevations with a controlled stroke in accordance with said control signal from said control system."
06848191,"27. The apparatus as claimed in , wherein said conveyer is mechanically coupled to said level adjuster so as to move following to any thermal expansion of bottom one of said first and second substrates."
06848191,"28. The apparatus as claimed in , wherein said conveyer rotates following to any thermal expansion of bottom one of said first and second substrates."
06848191,"29. The apparatus as claimed in , wherein said conveyer slides following to any thermal expansion of bottom one of said first and second substrates."
06848191,"30. The apparatus as claimed in , further including:

"
06848191,"31. The apparatus as claimed in , further including:

"
06848191,"32. A method of supporting a combined substrate structure which comprises first and second substrates, and said combined substrate structure being supported at plural supporting points on a bottom surface thereof by a plurality of level-adjustable supporting mechanisms, said method including:


"
06848191,"33. The method as claimed in , wherein said respective level-adjustment operations are made so as to suppress a flexure of said combined substrate structure within a maximum acceptable flexure value which corresponds to a maximum value of an acceptable range of a displacement between said first and second substrates."
06848191,"34. The method as claimed in , wherein said respective level-adjustment operations are made so as to suppress respective flexures of divided sub-regions of said combined substrate structure within said maximum acceptable flexure value."
06848191,"35. The method as claimed in , wherein said respective level-adjustment operations are made so as to cause said combined substrate structure to have an inverse flexure to a virtual flexure which is substantially equivalent to a displacement between said first and second substrates, where said inverse flexure is equal in absolute value to and opposite in polarity to said virtual flexure."
06848191,"36. The method as claimed in , wherein said inverse flexure is controlled within a predetermined upper-limit value."
06848191,"37. The method as claimed in , further including:


"
06848191,"38. The method as claimed in , wherein said step of detecting said displacement comprises recognizing a displacement between a first alignment mark of said first substrate and a second alignment mark of said second substrate, said first and second alignment marks making a pair."
06848192,"1. A siding tool comprising:





"
06848192,"2. The siding tool of , wherein said first fastener means includes a threaded bolt and said neck portion includes a threaded aperture for receiving said threaded bolt."
06848192,"3. The siding tool of , wherein said second fastener means includes a well nut."
06848192,"4. A siding tool comprising:





"
06848192,"5. The siding tool of , wherein said first fastener element is in the form of a threaded bolt and said second fastener element is in the form of a well nut."
06848192,"6. The siding tool of , wherein said hook includes a tapered tip portion to facilitate insertion of the tool behind an installed plank of siding."
06848192,"7. The siding tool of , wherein said first fastener element is in the form of a threaded bolt and said second fastener element is in the form of a well nut."
06848193,"1. A method of measuring a clearance distance between a first member and a stationary member, said method comprising:




"
06848193,"2. A method in accordance with  wherein measuring a gauge clearance distance using a second probe comprises measuring a gauge clearance distance using a second probe that is removably coupled at least partially within the mounting adapter."
06848193,"3. A method in accordance with  wherein measuring the clearance distance comprises measuring the clearance distance using an electrically-excited probe."
06848193,"4. A method in accordance with  wherein measuring the clearance distance using an electrically-excited probe comprises measuring the clearance distance using a capacitance probe."
06848193,"5. A method in accordance with  wherein measuring the clearance distance using a capacitance probe comprises measuring the clearance distance using an amplitude modulation excited capacitance probe."
06848193,"6. A method in accordance with  wherein measuring a gauge clearance distance using a second probe comprises measuring the gauge clearance distance using a mechanical probe."
06848193,"7. A method in accordance with  wherein measuring the gauge clearance distance using a mechanical probe comprises measuring the gauge clearance distance using a depth micrometer gauge."
06848193,"8. A method in accordance with  wherein the gauge includes a gauge body and a gauge rod that is extendable from the gauge body, wherein measuring the gauge clearance distance using a depth micrometer gauge comprises extending the gauge rod to contact the rotatable member."
06848193,"9. A method in accordance with  wherein extending the gauge rod to contact the rotatable member comprises extending the gauge rod through a removable guide sleeve."
06848193,"10. A method in accordance with  wherein extending the gauge rod through a removable guide sleeve comprises extending the gauge rod through a removable guide sleeve such that a gauge rod movement in a direction that is perpendicular to a gauge rod longitudinal axis is substantially prevented."
06848193,"11. A method in accordance with  further comprising:



"
06848193,"12. A method in accordance with  wherein the second probe is a depth gauge, the depth gauge includes a gauge body and a gauge rod that is extendable from the gauge body, the method further comprising lockably coupling the second probe into the mounting adapter such that a gauge body movement in a direction that is parallel to a gauge rod longitudinal axis is substantially prevented."
06848193,"13. A method in accordance with  wherein the second probe includes a gauge body and a gauge rod that is extendable from the gauge body, wherein measuring a gauge clearance distance using a second probe comprises measuring a gauge clearance distance such that the gauge rod extends through an aperture of the mounting adapter, the aperture including a rod guide surface."
06848193,"14. A method in accordance with  wherein measuring a gauge clearance distance comprises extending the gauge rod through an aperture of the mounting adapter such that a gauge rod movement in a direction that is perpendicular to a gauge rod longitudinal axis is substantially prevented."
06848193,"15. A method in accordance with  wherein measuring a gauge clearance distance comprises extending the gauge rod through a mounting adapter aperture that is substantially axially co-aligned with respect to the mounting adapter."
06848193,"16. A method in accordance with  wherein the stationary member is a casing of a rotary machine, wherein measuring a gauge clearance distance using a second probe comprises measuring a thickness of the casing using the second probe."
06848193,"17. A method in accordance with  wherein the second probe includes a body and a gauge rod that is extendable from the body wherein measuring a thickness of the casing using the second probe comprises:



"
06848193,"18. A method in accordance with  wherein a distal end of the gauge rod includes a surface normal to a longitudinal axis of the gauge rod wherein determining a casing radially inner surface position comprises:



"
06848193,"19. A clearance measurement system for measuring a clearance distance between a first member and a stationary member, said system comprising:



"
06848193,"20. A clearance measurement system in accordance with  wherein said first member is rotatable about a longitudinal axis."
06848193,"21. A clearance measurement system in accordance with  wherein said first member and said stationary member are substantially axially co-aligned."
06848193,"22. A clearance measurement system in accordance with  wherein said first member is a turbine rotor assembly."
06848193,"23. A clearance measurement system in accordance with  wherein said first probe is a capacitance probe."
06848193,"24. A clearance measurement system in accordance with  wherein said second probe is a depth gauge, said depth gauge includes a gauge body and a gauge rod that is extendable from said gauge body."
06848193,"25. A clearance measurement system in accordance with  wherein said second probe is configured to lockably couple into said mounting adapter such that a gauge body movement in a direction that is parallel to a gauge rod longitudinal axis is substantially prevented."
06848193,"26. A clearance measurement system in accordance with  wherein the stationary member includes a radially outer casing, said system comprises a probe that includes a rod distal end hook that is configured to engage a radially inner surface of the casing."
06848193,"27. A clearance measurement system in accordance with  wherein said rod distal end hook comprises a body comprising:


"
06848193,"28. A clearance measurement system in accordance with  wherein said gauge rod distal end comprises a circumferential groove that is configured to engage at least a portion of said rod distal end hook."
06848193,"29. A clearance measurement system in accordance with  wherein said mounting adapter comprises:


"
06848193,"30. A rotary machine comprising:



"
06848193,"31. A rotary machine in accordance with  wherein said first probe comprises a capacitance probe configured to receive an excitation signal and to generate an output signal relative to a proximity of said rotatable member to a measurement face of said probe."
06848193,"32. A rotary machine in accordance with  wherein said probe is configured to receive a frequency modulated excitation signal."
06848193,"33. A rotary machine in accordance with  wherein said second probe is a depth gauge micrometer."
06848194,"1. An apparatus for spin drying a semiconductor wafer, comprising:





"
06848194,"2. The apparatus of , further comprising:

"
06848194,"3. An apparatus for spin drying a semiconductor wafer, comprising:



"
06848194,"4. The apparatus of , further comprising:

"
06848194,"5. The apparatus of , wherein the arm is movable so that the position of the capacitance sensor relative to the space to be occupied by a semiconductor wafer that is supported by the grippers can be varied."
06848194,"6. The apparatus of , wherein the arm has a plurality of capacitance sensors mounted thereon, each of the capacitance sensors being disposed above a space to be occupied by a semiconductor wafer that is supported by the grippers, and each of the capacitance sensors being configured to measure a capacitance value between a semiconductor wafer supported by the grippers and the capacitance sensor."
06848194,"7. The apparatus of , further comprising:

"
06848194,"8. The apparatus of , wherein the arm is movable so that the position of each of the capacitance sensors relative to the space to be occupied by a semiconductor wafer that is supported by the grippers can be varied."
06848194,"9. An apparatus for spin drying a semiconductor wafer, comprising:



"
